datetime,value
2025-06-02 20:10:00,9.451667
2025-06-02 20:20:00,8.856555
2025-06-02 20:30:00,8.7854
2025-06-02 20:40:00,8.809375
2025-06-02 20:50:00,8.927334
2025-06-02 21:00:00,8.560333
2025-06-02 21:10:00,8.553667
2025-06-02 21:20:00,8.402889
2025-06-02 21:30:00,8.98425
2025-06-02 21:40:00,9.286111
2025-06-02 21:50:00,9.363222
2025-06-02 22:00:00,9.446375
2025-06-02 22:10:00,9.49525
2025-06-02 22:20:00,9.453667
2025-06-02 22:30:00,9.823444
2025-06-02 22:40:00,9.187
2025-06-02 22:50:00,9.192429
2025-06-02 23:00:00,8.821555
2025-06-02 23:10:00,9.096222
2025-06-02 23:20:00,9.529778
2025-06-02 23:30:00,9.824445
2025-06-02 23:40:00,9.285
2025-06-02 23:50:00,8.4147
2025-06-03 00:00:00,8.035556
2025-06-03 00:10:00,7.407889
2025-06-03 00:20:00,7.5554447
2025-06-03 00:30:00,7.8681
2025-06-03 00:40:00,7.5177503
2025-06-03 00:50:00,7.7036667
2025-06-03 01:00:00,7.4305
2025-06-03 01:10:00,7.2343335
2025-06-03 01:20:00,6.883
2025-06-03 01:30:00,6.642778
2025-06-03 01:40:00,6.621222
2025-06-03 01:50:00,6.7955
2025-06-03 02:00:00,7.3839
2025-06-03 02:10:00,7.391444
2025-06-03 02:20:00,7.388889
2025-06-03 02:30:00,7.450778
2025-06-03 02:40:00,7.3917
2025-06-03 02:50:00,7.3282223
2025-06-03 03:00:00,7.2991114
2025-06-03 03:10:00,7.1242223
2025-06-03 03:20:00,7.3936667
2025-06-03 03:30:00,7.317625
2025-06-03 03:40:00,7.1316667
2025-06-03 03:50:00,7.328889
2025-06-03 04:00:00,7.303625
2025-06-03 04:10:00,7.3984284
2025-06-03 04:20:00,7.623667
2025-06-03 04:30:00,7.3547144
2025-06-03 04:40:00,7.537286
2025-06-03 04:50:00,7.862143
2025-06-03 05:00:00,7.777
2025-06-03 05:10:00,6.5737143
2025-06-03 05:20:00,6.468
2025-06-03 05:30:00,6.2754283
2025-06-03 05:40:00,6.561143
2025-06-03 05:50:00,7.171222
2025-06-03 06:00:00,7.05625
2025-06-03 06:10:00,7.6361113
2025-06-03 06:20:00,8.096111
2025-06-03 06:30:00,7.938222
2025-06-03 06:40:00,8.865625
2025-06-03 06:50:00,8.310223
2025-06-03 07:00:00,8.246889
2025-06-03 07:10:00,8.0335
2025-06-03 07:20:00,19.532333
2025-06-04 03:50:00,34.2486
2025-06-04 04:00:00,32.970444
2025-06-04 04:10:00,32.326447
2025-06-04 04:20:00,31.894625
2025-06-04 04:30:00,32.1085
2025-06-04 04:40:00,31.982374
2025-06-04 04:50:00,30.428572
2025-06-04 05:00:00,29.80175
2025-06-04 05:10:00,29.181751
2025-06-04 05:20:00,29.64925
2025-06-04 05:30:00,29.320375
2025-06-04 05:40:00,27.5475
2025-06-04 05:50:00,29.649834
2025-06-04 06:00:00,30.264715
2025-06-04 06:10:00,29.707285
2025-06-04 06:20:00,30.108858
2025-06-04 06:30:00,32.182426
2025-06-04 06:40:00,30.965286
2025-06-04 06:50:00,31.756287
2025-06-04 07:00:00,31.486715
2025-06-04 07:10:00,31.212713
2025-06-04 07:20:00,29.407572
2025-06-04 07:30:00,28.790714
2025-06-04 07:40:00,26.476286
2025-06-04 07:50:00,27.273714
2025-06-04 08:00:00,27.559856
2025-06-04 08:10:00,25.183
2025-06-04 08:20:00,25.472
2025-06-04 08:30:00,25.046715
2025-06-04 08:40:00,26.511
2025-06-04 08:50:00,28.52443
2025-06-04 09:00:00,27.743143
2025-06-04 09:10:00,24.307858
2025-06-04 09:20:00,22.50757
2025-06-04 09:30:00,16.870857
2025-06-04 09:40:00,6.9295716
2025-06-04 09:50:00,9.736714
2025-06-04 10:00:00,17.88
2025-06-04 10:10:00,21.85875
2025-06-04 10:20:00,23.509857
2025-06-04 10:30:00,21.840572
2025-06-04 10:40:00,22.834167
2025-06-04 10:50:00,21.547285
2025-06-04 11:00:00,21.902
2025-06-04 11:10:00,23.874
2025-06-04 11:20:00,21.781713
2025-06-04 11:30:00,26.619999
2025-06-04 11:40:00,25.589142
2025-06-04 11:50:00,23.759111
2025-06-04 12:00:00,20.676666
2025-06-04 12:10:00,20.208889
2025-06-04 12:20:00,21.850445
2025-06-04 12:30:00,21.763222
2025-06-04 12:40:00,20.408445
2025-06-04 12:50:00,18.804667
2025-06-04 13:00:00,17.551556
2025-06-04 13:10:00,17.251112
2025-06-04 13:20:00,17.433666
2025-06-04 13:30:00,16.827444
2025-06-04 13:40:00,16.51389
2025-06-04 13:50:00,16.424444
2025-06-04 14:00:00,15.738
2025-06-04 14:10:00,15.77625
2025-06-04 14:20:00,15.167778
2025-06-04 14:30:00,14.614125
2025-06-04 14:40:00,14.0564995
2025-06-04 14:50:00,14.5303335
2025-06-04 15:00:00,14.5031
2025-06-04 15:10:00,14.116111
2025-06-04 15:20:00,14.146444
2025-06-04 15:30:00,13.220555
2025-06-04 15:40:00,12.795777
2025-06-04 15:50:00,12.2158575
2025-06-04 16:00:00,12.073
2025-06-04 16:10:00,11.6234
2025-06-04 16:20:00,11.314889
2025-06-04 16:30:00,10.811222
2025-06-04 16:40:00,10.124333
2025-06-04 16:50:00,10.1119995
2025-06-04 17:00:00,10.5448885
2025-06-04 17:10:00,11.56225
2025-06-04 17:20:00,11.634889
2025-06-04 17:30:00,12.304444
2025-06-04 17:40:00,13.534125
2025-06-04 17:50:00,13.885333
2025-06-04 18:00:00,13.3507
2025-06-04 18:10:00,14.210778
2025-06-04 18:20:00,14.2965555
2025-06-04 18:30:00,13.994111
2025-06-04 18:40:00,13.444125
2025-06-04 18:50:00,14.675222
2025-06-04 19:00:00,13.153334
2025-06-04 19:10:00,12.752501
2025-06-04 19:20:00,12.523222
2025-06-04 19:30:00,12.933
2025-06-04 19:40:00,12.565666
2025-06-04 19:50:00,12.0794
2025-06-04 20:00:00,12.476222
2025-06-04 20:10:00,12.956889
2025-06-04 20:20:00,14.165889
2025-06-04 20:30:00,14.7404995
2025-06-04 20:40:00,14.310889
2025-06-04 20:50:00,13.776556
2025-06-04 21:00:00,14.1742
2025-06-04 21:10:00,14.957444
2025-06-04 21:20:00,13.64475
2025-06-04 21:30:00,11.983889
2025-06-04 21:40:00,12.2643
2025-06-04 21:50:00,13.092111
2025-06-04 22:00:00,12.655111
2025-06-04 22:10:00,12.4589
2025-06-04 22:20:00,12.549778
2025-06-04 22:30:00,13.199889
2025-06-04 22:40:00,13.178444
2025-06-04 22:50:00,12.3686
2025-06-04 23:00:00,12.946889
2025-06-04 23:10:00,12.871778
2025-06-04 23:20:00,12.384571
2025-06-04 23:30:00,11.808572
2025-06-04 23:40:00,11.250857
2025-06-04 23:50:00,11.037429
2025-06-05 00:00:00,11.327125
2025-06-05 00:10:00,11.131429
2025-06-05 00:20:00,11.172143
2025-06-05 00:30:00,11.942875
2025-06-05 00:40:00,11.561428
2025-06-05 00:50:00,12.2347145
2025-06-05 01:00:00,11.914857
2025-06-05 01:10:00,11.870714
2025-06-05 01:20:00,11.898833
2025-06-05 01:30:00,12.323143
2025-06-05 01:40:00,12.185125
2025-06-05 01:50:00,12.172143
2025-06-05 02:00:00,12.113714
2025-06-05 02:10:00,14.077126
2025-06-05 02:20:00,13.844857
2025-06-05 02:30:00,13.444667
2025-06-05 02:40:00,13.594571
2025-06-05 02:50:00,13.015857
2025-06-05 03:00:00,13.515142
2025-06-05 03:10:00,13.7181425
2025-06-05 03:20:00,14.156625
2025-06-05 03:30:00,14.444858
2025-06-05 03:40:00,14.826285
2025-06-05 03:50:00,15.01275
2025-06-05 04:00:00,14.894857
2025-06-05 04:10:00,14.7322855
2025-06-05 04:20:00,14.695143
2025-06-05 04:30:00,14.297857
2025-06-05 04:40:00,14.815715
2025-06-05 04:50:00,14.479
2025-06-05 05:00:00,15.276125
2025-06-05 05:10:00,15.721143
2025-06-05 05:20:00,15.745428
